,Station,Code,Lat-coord,Lng-coord,Randstad
98,Boskoop Snijdelwijk,BSKS,52.067658,4.646186,1.0
99,Bourg-St-Maurice,BOURG,45.61918,6.77167,0.0
100,Boven-Hardinxveld,BHDV,51.832222,4.878056,1.0
101,Bovenkarspel Flora,BKF,52.696109771729,5.2527775764465,0.0
102,Bovenkarspel-Grootebroek,BKG,52.694999694824,5.2377777099609,0.0
103,Boxmeer,BMR,51.644521767653,5.9390330314636,0.0
104,Boxtel,BTL,51.58433,5.31912,0.0
105,Breda,BD,51.595554351807,4.7800002098083,0.0
106,Breda-Prinsenbeek,BDPB,51.606388092041,4.7208333015442,0.0
107,Bressoux,BRESSX,50.643829,5.6112542,0.0
108,Breukelen,BKL,52.17149,4.9906,1.0
109,Breyell,KBRY,51.294615,6.241174,0.0
110,Brummen,BMN,52.091110229492,6.1469445228577,0.0
111,Brussel-Centraal,BRUSC,50.845175,4.357131,0.0
112,Brussel-Noord,BRUSN,50.859658,4.360854,0.0
113,Brussel-Zuid Midi,BRUSZ,50.836782,4.336922,0.0
114,Brussels Airport-Zaventem,FBNL,50.896821,4.48549,0.0
115,Buitenpost,BP,53.2564547,6.1446496,0.0
116,Bunde,BDE,50.896945953369,5.7366666793823,0.0
117,Bünde (Westf),BUENDE,52.202075,8.573876,0.0
118,Bunnik,BNK,52.063056945801,5.1944446563721,1.0
119,Bussum Zuid,BSMZ,52.26583480835,5.1630554199219,1.0
120,Capelle Schollevaar,CPS,51.954166412354,4.5841665267944,1.0
121,Castricum,CAS,52.545833587646,4.6586112976074,0.0
122,Chambéry,CHAMB,45.57127,5.91953,0.0
123,Chevremont,CVM,50.876110076904,6.0597224235535,0.0
124,Coesfeld (Westf),ECMF,51.939,7.1642,0.0
125,Coevorden,CO,52.663612365723,6.7355556488037,0.0
126,Como S. Giovanni,COMO,45.80889,9.071944,0.0
127,Cuijk,CK,51.726682587905,5.8742952346802,0.0
128,Culemborg,CL,51.946666717529,5.2269444465637,0.0
129,Daarlerveen,DA,52.4407702,6.5759947,0.0
130,Dalen,DLN,52.69416809082,6.7580556869507,0.0
131,Dalfsen,DL,52.498332977295,6.25861120224,0.0
132,De Vink,DVNK,52.147220611572,4.4563889503479,1.0
133,De Westereen,DWE,53.24817,6.03463,0.0
134,Deinum,DEI,53.1888115,5.7281572,0.0
135,Delden,DDN,52.259998321533,6.7161111831665,0.0
136,Delft,DT,52.00666809082,4.3563890457153,1.0
137,Delft Campus,DTCP,51.990833282471,4.3647222518921,1.0
138,Delfzijl,DZ,53.3336625,6.9240797,0.0
139,Delfzijl West,DZW,53.3320834,6.9069092,0.0
140,Den Dolder,DLD,52.140277862549,5.2427778244019,1.0
141,Den Haag Centraal,GVC,52.080276489258,4.3249998092651,1.0
142,Den Haag HS,GV,52.069721221924,4.3225002288818,1.0
143,Den Haag Laan v NOI,LAA,52.078609466553,4.3427777290344,1.0
144,Den Haag Mariahoeve,GVM,52.090557098389,4.3694443702698,1.0
145,Den Haag Moerwijk,GVMW,52.053890228271,4.3086109161377,1.0
146,Den Haag Ypenburg,YPB,52.055278778076,4.39222240448,1.0
147,Den Helder,HDR,52.955276489258,4.7611112594605,0.0
148,Den Helder Zuid,HDRZ,52.932498931885,4.7641668319702,0.0
149,Deurne,DN,51.455833435059,5.7888889312744,0.0
150,Deventer,DV,52.257499694824,6.1605553627014,0.0
151,Deventer Colmschate,DVC,52.2502784729,6.2144446372986,0.0
152,Didam,DID,51.933502,6.1324106,0.0
153,Diemen,DMN,52.34515,4.967566,1.0
154,Diemen Zuid,DMNZ,52.330276489258,4.9558334350586,1.0
155,Diepenbeek,GDP,50.910278,5.419722,0.0
156,Dieren,DR,52.044998168945,6.1030554771423,0.0
157,Doetinchem,DTC,51.9585962,6.2962148,0.0
158,Doetinchem De Huet,DTCH,51.9591413,6.2598521,0.0
159,Dordrecht,DDR,51.807220458984,4.668333530426,1.0
160,Dordrecht Stadspolders,DDRS,51.801944732666,4.7166666984558,1.0
161,Dordrecht Zuid,DDZD,51.790000915527,4.6713891029358,1.0
162,Dortmund Derne,EDD,51.56754,7.52855,0.0
163,Dortmund Hbf,EDO,51.517896,7.45929,0.0
164,Dortmund Kirchderne,EDKD,51.547076,7.510099,0.0
165,Driebergen-Zeist,DB,52.065277099609,5.25861120224,1.0
166,Driehuis,DRH,52.442501068115,4.6380553245544,1.0
167,Dronryp,DRP,53.1778086,5.6347411,0.0
168,Dronten,DRON,52.5344,5.72089,0.0
169,Duisburg Hbf,DUISB,51.429778571332,6.7759037017822,0.0
170,Duiven,DVN,51.943332672119,6.0147223472595,0.0
171,Duivendrecht,DVD,52.323333740234,4.9363889694214,1.0
172,Dülken,KDUL,51.257149,6.33793,0.0
173,Dülmen,EDULH,51.827927,7.295756,0.0
174,Düsseldorf Flughafen,KDFFH,51.292009,6.786836,0.0
175,Düsseldorf Hbf,DUSSEL,51.220146,6.793137,0.0
176,Echt,EC,51.100555419922,5.8788890838623,0.0
177,Ede Centrum,EDC,52.043609619141,5.668333530426,0.0
178,Ede-Wageningen,ED,52.027778625488,5.6730556488037,0.0
179,Eemshaven,EEM,53.458419,6.832,0.0
180,Eijsden,EDN,50.771945953369,5.710000038147,0.0
181,Eindhoven Centraal,EHV,51.443332672119,5.4813890457153,0.0
182,Eindhoven Strijp-S,EHS,51.451110839844,5.4558334350586,0.0
183,Ekeren,LKR,51.2816099,4.4341227,0.0
184,Elst,EST,51.916942596435,5.8550000190735,0.0
185,Emmen,EMN,52.790000915527,6.8994445800781,0.0
186,Emmen Zuid,EMNZ,52.748866374691,6.8747806549072,0.0
187,Emmerich,EM,51.834283,6.255718,0.0
188,Emmerich-Elten,EL,51.8743,6.15417,0.0
189,Enkhuizen,EKZ,52.699165344238,5.286388874054,0.0
190,Ennepetal,EENP,51.304892,7.343285,0.0
191,Enschede,ES,52.222499847412,6.8899998664856,0.0
192,Enschede De Eschmarke,ESE,52.221389770508,6.9511113166809,0.0
193,Enschede Kennispark,ESK,52.23749923706,6.8388891220093,0.0
194,Epe (Westf),EEPE,52.18346,7.03009,0.0
195,Ermelo,EML,52.301666259766,5.6147222518921,0.0
196,Essen,ESN,51.46261,4.45129,0.0
197,Etten-Leur,ETN,51.57500076294,4.6358332633972,0.0
198,Eygelshoven,EGH,50.890556335449,6.0450000762939,0.0
199,Eygelshoven Markt,EGHM,50.896049819644,6.0602474212646,0.0
200,Feanwâlden,FWD,53.2351834,5.9886615,0.0
201,Firenze Campo di Marte,LIVOR,43.776667,11.276667,0.0
202,Franeker,FN,53.1824488,5.5483094,0.0
203,Frankfurt (M) Hbf,FFFM,50.1071222,8.6638338,0.0
204,Frankfurt (Main) Süd,FFS,50.099444,8.686389,0.0
205,Frankfurt Flughafen Fernb,FNAF,50.053171029929,8.570237159729,0.0
206,Freiburg (Breisgau) Hbf,RF,47.99789,7.84134,0.0
207,Gaanderen,GDR,51.93074,6.3486,0.0
208,Geldermalsen,GDM,51.88301,5.27127,0.0
209,Geldrop,GP,51.419723510742,5.5505557060242,0.0
210,Geleen Oost,GLN,50.966945648193,5.8430557250977,0.0
211,Geleen-Lutterade,LUT,50.975555419922,5.8247222900391,0.0
212,Gent Sint Pieters,FGSP,51.0361744,3.7108469,0.0
213,Gilze-Rijen,GZ,51.583610534668,4.9261112213135,0.0
214,Glanerbrug,GBR,52.218612670898,6.9744443893433,0.0
215,Glons,LGL,50.750277,5.535278,0.0
216,Goes,GS,51.498054504395,3.8905556201935,0.0
217,Goor,GO,52.230278015137,6.5844445228577,0.0
218,Göppingen,TGO,48.700191,9.651685,0.0
219,Gorinchem,GR,51.833889007568,4.9683332443237,1.0
220,Göteborg Central,HOJE,57.708889,11.973333,0.0
221,Gouda,GD,52.017501831055,4.7044444084167,1.0
222,Gouda Goverwelle,GDG,52.014999389648,4.7408332824707,1.0
223,Gramsbergen,GBG,52.60916519165,6.6758332252502,0.0
224,Grijpskerk,GK,53.255740325573,6.3097786903381,0.0
225,Gronau (Westf.),G,52.21521,7.022109,0.0
226,Groningen,GN,53.210556030273,6.5647220611572,0.0
227,Groningen Europapark,GERP,53.20480027,6.5854178,0.0
228,Groningen Noord,GNN,53.2301469,6.5563172,0.0
229,Grou-Jirnsum,GW,53.088890075684,5.8225002288818,0.0
230,Günzburg,MGZB,48.460226,10.278707,0.0
231,Haarlem,HLM,52.38777923584,4.6383333206177,1.0
232,Haarlem Spaarnwoude,HLMS,52.382778167725,4.6730556488037,1.0
233,Hagen Hbf,HAGEN,51.362747,7.460249,0.0
234,Halfweg-Zwanenburg,HWZB,52.385935,4.747165,1.0
235,Hamm (Westf.),HAMM,51.678078,7.807821,0.0
236,Hannover Hbf,HANN,52.3770401,9.7416759,0.0
237,Hardenberg,HDB,52.572776794434,6.6286110877991,0.0
238,Harderwijk,HD,52.337501525879,5.619722366333,0.0
239,Hardinxveld Blauwe Zoom,HBZM,51.82944,4.81556,1.0
240,Hardinxveld-Giessendam,GND,51.830554962158,4.8358335494995,1.0
241,Haren,HRN,53.176109313965,6.6172223091125,0.0
242,Harlingen,HLG,53.1704205,5.4251932,0.0
243,Harlingen Haven,HLGH,53.174917,5.4112885,0.0
244,Hasselt,FHS,50.930555,5.3275,0.0
245,Heemskerk,HK,52.495277404785,4.6869444847107,0.0
246,Heemstede-Aerdenhout,HAD,52.35916519165,4.6066665649414,1.0
247,Heerenveen,HR,52.961387634277,5.9141664505005,0.0
248,Heerenveen IJsstadion,HRY,52.935276031494,5.9438886642456,0.0
249,Heerhugowaard,HWD,52.669723510742,4.8227777481079,0.0
250,Heerlen,HRL,50.89083480835,5.9749999046326,0.0
251,Heerlen Woonboulevard,HRLW,50.896667,5.952222,0.0
252,Heeze,HZE,51.384998321533,5.5694446563721,0.0
253,Heide (B),MID,51.364828,4.4604308,0.0
254,Heiloo,HLO,52.599445343018,4.7005553245544,0.0
255,Heino,HNO,52.427223205566,6.2211112976074,0.0
256,Helmond,HM,51.475555419922,5.6619443893433,0.0
257,Helmond 't Hout,HMH,51.46794,5.63085,0.0
258,Helmond Brandevoort,HMBV,51.462223052979,5.6072220802307,0.0
259,Helmond Brouwhuis,HMBH,51.47068,5.70177,0.0
260,Hemiksem,LKM,51.13624,4.33828,0.0
261,Hemmen-Dodewaard,HMN,51.9222129,5.6737254,0.0
262,Hengelo,HGL,52.261665344238,6.7938890457153,0.0
