DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches
ARR,2024-10-07,189,18910,0,1,AHBF,LUIK,1,Flirt,3.0
ARR,2024-10-07,189,18912,0,1,AHBF,MT,2,Flirt,3.0
ARR,2024-10-07,189,18913,0,1,LUIK,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18914,0,1,AHBF,LUIK,1,Flirt,3.0
ARR,2024-10-07,189,18916,0,1,AHBF,MT,2,Flirt,3.0
ARR,2024-10-07,189,18917,0,1,LUIK,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18918,0,1,AHBF,LUIK,2,Flirt,3.0
ARR,2024-10-07,189,18920,0,1,AHBF,MT,1,Flirt,3.0
ARR,2024-10-07,189,18921,0,1,LUIK,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18924,0,1,AHBF,MT,1,Flirt,3.0
ARR,2024-10-07,189,18925,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18926,0,1,AHBF,LUIK,2,Flirt,3.0
ARR,2024-10-07,189,18928,0,1,AHBF,MT,2,Flirt,3.0
ARR,2024-10-07,189,18929,0,1,LUIK,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18930,0,1,AHBF,LUIK,2,Flirt,3.0
ARR,2024-10-07,189,18933,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18936,0,1,AHBF,MT,2,Flirt,3.0
ARR,2024-10-07,189,18937,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18938,0,1,AHBF,LUIK,2,Flirt,3.0
ARR,2024-10-07,189,18940,0,1,AHBF,MT,2,Flirt,3.0
ARR,2024-10-07,189,18941,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18944,0,1,AHBF,MT,2,Flirt,3.0
ARR,2024-10-07,189,18945,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18946,0,1,AHBF,LUIK,2,Flirt,3.0
ARR,2024-10-07,189,18948,0,1,AHBF,MT,1,Flirt,3.0
ARR,2024-10-07,189,18949,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18950,0,1,AHBF,LUIK,2,Flirt,3.0
ARR,2024-10-07,189,18952,0,1,AHBF,MT,1,Flirt,3.0
ARR,2024-10-07,189,18953,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18954,0,1,AHBF,LUIK,2,Flirt,3.0
ARR,2024-10-07,189,18956,0,1,AHBF,MT,2,Flirt,3.0
ARR,2024-10-07,189,18957,0,1,LUIK,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18958,0,1,AHBF,LUIK,2,Flirt,3.0
ARR,2024-10-07,189,18960,0,1,AHBF,MT,1,Flirt,3.0
ARR,2024-10-07,189,18961,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18962,0,1,AHBF,LUIK,2,Flirt,3.0
ARR,2024-10-07,189,18965,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18966,0,1,AHBF,LUIK,2,Flirt,3.0
ARR,2024-10-07,189,18969,0,1,LUIK,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18973,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18977,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18981,0,1,LUIK,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18911,0,4,HRL,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18915,0,4,MT,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18923,0,4,MT,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18927,0,4,MT,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18935,0,4,MT,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18943,0,4,MT,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18947,0,4,MT,AHBF,1,Flirt,3.0
