,uic,Station,Code,Lat-coord,Lng-coord,Type,Type code,Randstad
57,8731896,Avignon TGV,AVTGV,43.92194,4.78604,megastation,1,0.0
58,8400086,Baarn,BRN,52.208332061768,5.2808332443237,knooppuntStoptreinstation,0,1.0
59,8021156,Bad Bentheim,BH,52.309685595156,7.1585369110107,knooppuntIntercitystation,1,0.0
60,8400457,Bad Nieuweschans,NSCH,53.1844,7.19937,knooppuntStoptreinstation,0,0.0
61,8013585,Bad Oeynhausen,OEYNH,52.205461,8.796932,intercitystation,1,0.0
62,8503504,Baden (CH),BADENZ,47.47638,8.30772,stoptreinstation,0,0.0
63,8400089,Baflo,BF,53.3608969,6.5185581,stoptreinstation,0,0.0
64,8400090,Barendrecht,BRD,51.854721069336,4.5533332824707,stoptreinstation,0,1.0
65,8400091,Barneveld Centrum,BNC,52.139999389648,5.590277671814,stoptreinstation,0,0.0
66,8400092,Barneveld Noord,BNN,52.161388397217,5.5980553627014,stoptreinstation,0,0.0
67,8400115,Barneveld Zuid,BNZ,52.128853,5.60246,stoptreinstation,0,0.0
68,8014431,Basel Bad Bf,BASELB,47.56815,7.6073,stoptreinstation,0,0.0
69,8500010,Basel SBB,BASELS,47.5474,7.58956,megastation,1,0.0
70,8400094,Bedum,BDM,53.3068857,6.593054,stoptreinstation,0,0.0
71,8400096,Beek-Elsloo,BK,50.947498321533,5.7866668701172,stoptreinstation,0,0.0
72,8400097,Beesd,BSD,51.899444580078,5.1944446563721,stoptreinstation,0,0.0
73,8400100,Beilen,BL,52.854721069336,6.5211110115051,stoptreinstation,0,0.0
74,8894433,Belsele,LLB,51.150833,4.088332,stoptreinstation,0,0.0
75,8400108,Bergen op Zoom,BGN,51.49388885498,4.2961111068726,stoptreinstation,0,0.0
76,8007799,Berlin Gesundbrunnen,GSB,52.5486327,13.3904267,intercitystation,1,0.0
77,8065969,Berlin Hbf,BERHBL,52.52503,13.36946,megastation,1,0.0
78,8003004,Berlin Ostbahnhof,BHF,52.5104989,13.4346995,knooppuntIntercitystation,1,0.0
79,8003025,Berlin-Spandau,BSPD,52.5343152,13.1989467,intercitystation,1,0.0
80,8400112,Best,BET,51.509998321533,5.3891668319702,stoptreinstation,0,0.0
81,8894748,Beveren,FBR,51.208056,4.259444,stoptreinstation,0,0.0
82,8400113,Beverwijk,BV,52.478332519531,4.6566667556763,stoptreinstation,0,0.0
83,8013597,Bielefeld Hbf,BIELEF,52.029261,8.532722,stoptreinstation,0,0.0
84,8400114,Bilthoven,BHV,52.130001068115,5.2038888931274,stoptreinstation,0,1.0
85,8831138,Bilzen,FIE,50.868333,5.509167,stoptreinstation,0,0.0
86,8400117,Blerick,BR,51.372501373291,6.1550002098083,stoptreinstation,0,0.0
87,8400118,Bloemendaal,BLL,52.404167175293,4.6275000572205,stoptreinstation,0,1.0
88,8400121,Bodegraven,BDG,52.081390380859,4.7461109161377,stoptreinstation,0,1.0
89,8015128,Boisheim,KBOI,51.274323,6.274591,intercitystation,1,0.0
90,8305043,Bologna Centrale,ALESS,44.506389,11.341944,intercitystation,1,0.0
91,8010385,Bönen,EBEO,51.598015,7.757296,stoptreinstation,0,0.0
92,8015485,Bonn Hbf,BONN,50.732014164675,7.0971250534058,stoptreinstation,0,0.0
93,8015577,Bonn-Beuel,KBB,50.738611,7.127778,intercitystation,1,0.0
94,8822814,Boom,FMB,51.09063,4.36057,stoptreinstation,0,0.0
95,8021111,Bork (Westf),EBOK,51.66988,7.45664,stoptreinstation,0,0.0
96,8400124,Borne,BN,52.298889160156,6.7480554580689,stoptreinstation,0,0.0
97,8400125,Boskoop,BSK,52.077777862549,4.6469445228577,stoptreinstation,0,1.0
98,8400126,Boskoop Snijdelwijk,BSKS,52.067658,4.646186,stoptreinstation,0,1.0
99,8774179,Bourg-St-Maurice,BOURG,45.61918,6.77167,intercitystation,1,0.0
100,8400236,Boven-Hardinxveld,BHDV,51.832222,4.878056,stoptreinstation,0,1.0
101,8400230,Bovenkarspel Flora,BKF,52.696109771729,5.2527775764465,stoptreinstation,0,0.0
102,8400127,Bovenkarspel-Grootebroek,BKG,52.694999694824,5.2377777099609,stoptreinstation,0,0.0
103,8400128,Boxmeer,BMR,51.644521767653,5.9390330314636,knooppuntStoptreinstation,0,0.0
104,8400129,Boxtel,BTL,51.58433,5.31912,knooppuntStoptreinstation,0,0.0
105,8400131,Breda,BD,51.595554351807,4.7800002098083,knooppuntIntercitystation,1,0.0
106,8400132,Breda-Prinsenbeek,BDPB,51.606388092041,4.7208333015442,stoptreinstation,0,0.0
107,8843901,Bressoux,BRESSX,50.643829,5.6112542,stoptreinstation,0,0.0
108,8400133,Breukelen,BKL,52.17149,4.9906,knooppuntStoptreinstation,0,1.0
109,8015129,Breyell,KBRY,51.294615,6.241174,intercitystation,1,0.0
110,8400136,Brummen,BMN,52.091110229492,6.1469445228577,stoptreinstation,0,0.0
111,8813003,Brussel-Centraal,BRUSC,50.845175,4.357131,intercitystation,1,0.0
112,8812005,Brussel-Noord,BRUSN,50.859658,4.360854,knooppuntIntercitystation,1,0.0
113,8814001,Brussel-Zuid Midi,BRUSZ,50.836782,4.336922,megastation,1,0.0
114,8819406,Brussels Airport-Zaventem,FBNL,50.896821,4.48549,megastation,1,0.0
115,8400139,Buitenpost,BP,53.2564547,6.1446496,knooppuntSneltreinstation,1,0.0
116,8400140,Bunde,BDE,50.896945953369,5.7366666793823,stoptreinstation,0,0.0
117,8021173,Bünde (Westf),BUENDE,52.202075,8.573876,stoptreinstation,0,0.0
118,8400141,Bunnik,BNK,52.063056945801,5.1944446563721,stoptreinstation,0,1.0
119,8400145,Bussum Zuid,BSMZ,52.26583480835,5.1630554199219,stoptreinstation,0,1.0
120,8400147,Capelle Schollevaar,CPS,51.954166412354,4.5841665267944,stoptreinstation,0,1.0
121,8400151,Castricum,CAS,52.545833587646,4.6586112976074,intercitystation,1,0.0
122,8774100,Chambéry,CHAMB,45.57127,5.91953,intercitystation,1,0.0
123,8400152,Chevremont,CVM,50.876110076904,6.0597224235535,stoptreinstation,0,0.0
124,8021119,Coesfeld (Westf),ECMF,51.939,7.1642,stoptreinstation,0,0.0
125,8400153,Coevorden,CO,52.663612365723,6.7355556488037,knooppuntSneltreinstation,1,0.0
126,8301307,Como S. Giovanni,COMO,45.80889,9.071944,intercitystation,1,0.0
127,8400155,Cuijk,CK,51.726682587905,5.8742952346802,stoptreinstation,0,0.0
128,8400154,Culemborg,CL,51.946666717529,5.2269444465637,stoptreinstation,0,0.0
129,8400164,Daarlerveen,DA,52.4407702,6.5759947,stoptreinstation,0,0.0
130,8400161,Dalen,DLN,52.69416809082,6.7580556869507,stoptreinstation,0,0.0
131,8400167,Dalfsen,DL,52.498332977295,6.25861120224,sneltreinstation,1,0.0
132,8400188,De Vink,DVNK,52.147220611572,4.4563889503479,stoptreinstation,0,1.0
133,8400745,De Westereen,DWE,53.24817,6.03463,stoptreinstation,0,0.0
134,8400168,Deinum,DEI,53.1888115,5.7281572,stoptreinstation,0,0.0
135,8400169,Delden,DDN,52.259998321533,6.7161111831665,stoptreinstation,0,0.0
136,8400170,Delft,DT,52.00666809082,4.3563890457153,knooppuntIntercitystation,1,1.0
137,8400166,Delft Campus,DTCP,51.990833282471,4.3647222518921,stoptreinstation,0,1.0
138,8400171,Delfzijl,DZ,53.3336625,6.9240797,stoptreinstation,0,0.0
139,8400175,Delfzijl West,DZW,53.3320834,6.9069092,stoptreinstation,0,0.0
140,8400179,Den Dolder,DLD,52.140277862549,5.2427778244019,knooppuntStoptreinstation,0,1.0
141,8400282,Den Haag Centraal,GVC,52.080276489258,4.3249998092651,megastation,1,1.0
142,8400280,Den Haag HS,GV,52.069721221924,4.3225002288818,knooppuntIntercitystation,1,1.0
143,8400380,Den Haag Laan v NOI,LAA,52.078609466553,4.3427777290344,knooppuntStoptreinstation,0,1.0
144,8400278,Den Haag Mariahoeve,GVM,52.090557098389,4.3694443702698,stoptreinstation,0,1.0
145,8400279,Den Haag Moerwijk,GVMW,52.053890228271,4.3086109161377,stoptreinstation,0,1.0
146,8400379,Den Haag Ypenburg,YPB,52.055278778076,4.39222240448,stoptreinstation,0,1.0
147,8400311,Den Helder,HDR,52.955276489258,4.7611112594605,intercitystation,1,0.0
148,8400303,Den Helder Zuid,HDRZ,52.932498931885,4.7641668319702,stoptreinstation,0,0.0
149,8400172,Deurne,DN,51.455833435059,5.7888889312744,stoptreinstation,0,0.0
150,8400173,Deventer,DV,52.257499694824,6.1605553627014,knooppuntIntercitystation,1,0.0
151,8400185,Deventer Colmschate,DVC,52.2502784729,6.2144446372986,stoptreinstation,0,0.0
152,8400174,Didam,DID,51.933502,6.1324106,stoptreinstation,0,0.0
153,8400165,Diemen,DMN,52.34515,4.967566,stoptreinstation,0,1.0
154,8400163,Diemen Zuid,DMNZ,52.330276489258,4.9558334350586,stoptreinstation,0,1.0
155,8831112,Diepenbeek,GDP,50.910278,5.419722,stoptreinstation,0,0.0
156,8400176,Dieren,DR,52.044998168945,6.1030554771423,intercitystation,1,0.0
157,8400177,Doetinchem,DTC,51.9585962,6.2962148,knooppuntStoptreinstation,0,0.0
158,8400184,Doetinchem De Huet,DTCH,51.9591413,6.2598521,stoptreinstation,0,0.0
159,8400180,Dordrecht,DDR,51.807220458984,4.668333530426,knooppuntIntercitystation,1,1.0
160,8400186,Dordrecht Stadspolders,DDRS,51.801944732666,4.7166666984558,stoptreinstation,0,1.0
161,8400181,Dordrecht Zuid,DDZD,51.790000915527,4.6713891029358,stoptreinstation,0,1.0
162,8010101,Dortmund Derne,EDD,51.56754,7.52855,stoptreinstation,0,0.0
163,8010053,Dortmund Hbf,EDO,51.517896,7.45929,knooppuntIntercitystation,1,0.0
164,8010102,Dortmund Kirchderne,EDKD,51.547076,7.510099,stoptreinstation,0,0.0
165,8400182,Driebergen-Zeist,DB,52.065277099609,5.25861120224,knooppuntStoptreinstation,0,1.0
166,8400183,Driehuis,DRH,52.442501068115,4.6380553245544,stoptreinstation,0,1.0
167,8400192,Dronryp,DRP,53.1778086,5.6347411,stoptreinstation,0,0.0
168,8400198,Dronten,DRON,52.5344,5.72089,stoptreinstation,0,0.0
169,8010316,Duisburg Hbf,DUISB,51.429778571332,6.7759037017822,knooppuntIntercitystation,1,0.0
170,8400193,Duiven,DVN,51.943332672119,6.0147223472595,stoptreinstation,0,0.0
171,8400194,Duivendrecht,DVD,52.323333740234,4.9363889694214,knooppuntStoptreinstation,0,1.0
172,8015125,Dülken,KDUL,51.257149,6.33793,intercitystation,1,0.0
173,8021005,Dülmen,EDULH,51.827927,7.295756,stoptreinstation,0,0.0
174,8039904,Düsseldorf Flughafen,KDFFH,51.292009,6.786836,knooppuntIntercitystation,1,0.0
175,8008094,Düsseldorf Hbf,DUSSEL,51.220146,6.793137,megastation,1,0.0
176,8400195,Echt,EC,51.100555419922,5.8788890838623,stoptreinstation,0,0.0
177,8400201,Ede Centrum,EDC,52.043609619141,5.668333530426,stoptreinstation,0,0.0
178,8400200,Ede-Wageningen,ED,52.027778625488,5.6730556488037,knooppuntIntercitystation,1,0.0
179,8400202,Eemshaven,EEM,53.458419,6.832,stoptreinstation,0,0.0
180,8400219,Eijsden,EDN,50.771945953369,5.710000038147,stoptreinstation,0,0.0
181,8400206,Eindhoven Centraal,EHV,51.443332672119,5.4813890457153,megastation,1,0.0
182,8400196,Eindhoven Strijp-S,EHS,51.451110839844,5.4558334350586,stoptreinstation,0,0.0
183,8821071,Ekeren,LKR,51.2816099,4.4341227,stoptreinstation,0,0.0
184,8400207,Elst,EST,51.916942596435,5.8550000190735,knooppuntStoptreinstation,0,0.0
185,8400208,Emmen,EMN,52.790000915527,6.8994445800781,sneltreinstation,1,0.0
186,8400407,Emmen Zuid,EMNZ,52.748866374691,6.8747806549072,sneltreinstation,1,0.0
187,8010288,Emmerich,EM,51.834283,6.255718,knooppuntStoptreinstation,0,0.0
188,8033415,Emmerich-Elten,EL,51.8743,6.15417,stoptreinstation,0,0.0
189,8400210,Enkhuizen,EKZ,52.699165344238,5.286388874054,stoptreinstation,0,0.0
190,8008134,Ennepetal,EENP,51.304892,7.343285,stoptreinstation,0,0.0
191,8400212,Enschede,ES,52.222499847412,6.8899998664856,knooppuntIntercitystation,1,0.0
192,8400217,Enschede De Eschmarke,ESE,52.221389770508,6.9511113166809,stoptreinstation,0,0.0
193,8400221,Enschede Kennispark,ESK,52.23749923706,6.8388891220093,stoptreinstation,0,0.0
194,8021126,Epe (Westf),EEPE,52.18346,7.03009,stoptreinstation,0,0.0
195,8400216,Ermelo,EML,52.301666259766,5.6147222518921,stoptreinstation,0,0.0
196,8821402,Essen,ESN,51.46261,4.45129,stoptreinstation,0,0.0
197,8400218,Etten-Leur,ETN,51.57500076294,4.6358332633972,intercitystation,1,0.0
198,8400338,Eygelshoven,EGH,50.890556335449,6.0450000762939,stoptreinstation,0,0.0
199,8400234,Eygelshoven Markt,EGHM,50.896049819644,6.0602474212646,stoptreinstation,0,0.0
200,8400638,Feanwâlden,FWD,53.2351834,5.9886615,stoptreinstation,0,0.0
201,8306900,Firenze Campo di Marte,LIVOR,43.776667,11.276667,intercitystation,1,0.0
202,8400232,Franeker,FN,53.1824488,5.5483094,stoptreinstation,0,0.0
203,8011068,Frankfurt (M) Hbf,FFFM,50.1071222,8.6638338,knooppuntIntercitystation,1,0.0
204,8011065,Frankfurt (Main) Süd,FFS,50.099444,8.686389,intercitystation,1,0.0
205,8061676,Frankfurt Flughafen Fernb,FNAF,50.053171029929,8.570237159729,knooppuntIntercitystation,1,0.0
206,8014350,Freiburg (Breisgau) Hbf,RF,47.99789,7.84134,sneltreinstation,1,0.0
207,8400241,Gaanderen,GDR,51.93074,6.3486,stoptreinstation,0,0.0
208,8400244,Geldermalsen,GDM,51.88301,5.27127,knooppuntStoptreinstation,0,0.0
209,8400245,Geldrop,GP,51.419723510742,5.5505557060242,knooppuntStoptreinstation,0,0.0
210,8400246,Geleen Oost,GLN,50.966945648193,5.8430557250977,stoptreinstation,0,0.0
211,8400248,Geleen-Lutterade,LUT,50.975555419922,5.8247222900391,stoptreinstation,0,0.0
212,8892007,Gent Sint Pieters,FGSP,51.0361744,3.7108469,stoptreinstation,0,0.0
213,8400251,Gilze-Rijen,GZ,51.583610534668,4.9261112213135,stoptreinstation,0,0.0
214,8400262,Glanerbrug,GBR,52.218612670898,6.9744443893433,stoptreinstation,0,0.0
215,8841731,Glons,LGL,50.750277,5.535278,stoptreinstation,0,0.0
216,8400253,Goes,GS,51.498054504395,3.8905556201935,stoptreinstation,0,0.0
217,8400254,Goor,GO,52.230278015137,6.5844445228577,stoptreinstation,0,0.0
218,8029066,Göppingen,TGO,48.700191,9.651685,sneltreinstation,1,0.0
219,8400256,Gorinchem,GR,51.833889007568,4.9683332443237,knooppuntStoptreinstation,0,1.0
220,7401318,Göteborg Central,HOJE,57.708889,11.973333,intercitystation,1,0.0
221,8400258,Gouda,GD,52.017501831055,4.7044444084167,knooppuntIntercitystation,1,1.0
222,8400257,Gouda Goverwelle,GDG,52.014999389648,4.7408332824707,stoptreinstation,0,1.0
223,8400259,Gramsbergen,GBG,52.60916519165,6.6758332252502,stoptreinstation,0,0.0
224,8400267,Grijpskerk,GK,53.255740325573,6.3097786903381,stoptreinstation,0,0.0
225,8021128,Gronau (Westf.),G,52.21521,7.022109,knooppuntStoptreinstation,0,0.0
226,8400263,Groningen,GN,53.210556030273,6.5647220611572,knooppuntIntercitystation,1,0.0
227,8400238,Groningen Europapark,GERP,53.20480027,6.5854178,stoptreinstation,0,0.0
228,8400264,Groningen Noord,GNN,53.2301469,6.5563172,stoptreinstation,0,0.0
229,8400266,Grou-Jirnsum,GW,53.088890075684,5.8225002288818,stoptreinstation,0,0.0
230,8002084,Günzburg,MGZB,48.460226,10.278707,sneltreinstation,1,0.0
231,8400285,Haarlem,HLM,52.38777923584,4.6383333206177,knooppuntIntercitystation,1,1.0
