,uic,Station,Code,Lat-coord,Lng-coord,Type,Type code,Randstad
102,8400127,Bovenkarspel-Grootebroek,BKG,52.694999694824,5.2377777099609,stoptreinstation,0,0.0
103,8400128,Boxmeer,BMR,51.644521767653,5.9390330314636,knooppuntStoptreinstation,0,0.0
104,8400129,Boxtel,BTL,51.58433,5.31912,knooppuntStoptreinstation,0,0.0
105,8400131,Breda,BD,51.595554351807,4.7800002098083,knooppuntIntercitystation,1,0.0
106,8400132,Breda-Prinsenbeek,BDPB,51.606388092041,4.7208333015442,stoptreinstation,0,0.0
108,8400133,Breukelen,BKL,52.17149,4.9906,knooppuntStoptreinstation,0,1.0
110,8400136,Brummen,BMN,52.091110229492,6.1469445228577,stoptreinstation,0,0.0
115,8400139,Buitenpost,BP,53.2564547,6.1446496,knooppuntSneltreinstation,1,0.0
116,8400140,Bunde,BDE,50.896945953369,5.7366666793823,stoptreinstation,0,0.0
118,8400141,Bunnik,BNK,52.063056945801,5.1944446563721,stoptreinstation,0,1.0
119,8400145,Bussum Zuid,BSMZ,52.26583480835,5.1630554199219,stoptreinstation,0,1.0
120,8400147,Capelle Schollevaar,CPS,51.954166412354,4.5841665267944,stoptreinstation,0,1.0
121,8400151,Castricum,CAS,52.545833587646,4.6586112976074,intercitystation,1,0.0
123,8400152,Chevremont,CVM,50.876110076904,6.0597224235535,stoptreinstation,0,0.0
125,8400153,Coevorden,CO,52.663612365723,6.7355556488037,knooppuntSneltreinstation,1,0.0
127,8400155,Cuijk,CK,51.726682587905,5.8742952346802,stoptreinstation,0,0.0
128,8400154,Culemborg,CL,51.946666717529,5.2269444465637,stoptreinstation,0,0.0
129,8400164,Daarlerveen,DA,52.4407702,6.5759947,stoptreinstation,0,0.0
130,8400161,Dalen,DLN,52.69416809082,6.7580556869507,stoptreinstation,0,0.0
131,8400167,Dalfsen,DL,52.498332977295,6.25861120224,sneltreinstation,1,0.0
132,8400188,De Vink,DVNK,52.147220611572,4.4563889503479,stoptreinstation,0,1.0
133,8400745,De Westereen,DWE,53.24817,6.03463,stoptreinstation,0,0.0
134,8400168,Deinum,DEI,53.1888115,5.7281572,stoptreinstation,0,0.0
135,8400169,Delden,DDN,52.259998321533,6.7161111831665,stoptreinstation,0,0.0
136,8400170,Delft,DT,52.00666809082,4.3563890457153,knooppuntIntercitystation,1,1.0
137,8400166,Delft Campus,DTCP,51.990833282471,4.3647222518921,stoptreinstation,0,1.0
138,8400171,Delfzijl,DZ,53.3336625,6.9240797,stoptreinstation,0,0.0
139,8400175,Delfzijl West,DZW,53.3320834,6.9069092,stoptreinstation,0,0.0
140,8400179,Den Dolder,DLD,52.140277862549,5.2427778244019,knooppuntStoptreinstation,0,1.0
141,8400282,Den Haag Centraal,GVC,52.080276489258,4.3249998092651,megastation,1,1.0
142,8400280,Den Haag HS,GV,52.069721221924,4.3225002288818,knooppuntIntercitystation,1,1.0
143,8400380,Den Haag Laan v NOI,LAA,52.078609466553,4.3427777290344,knooppuntStoptreinstation,0,1.0
144,8400278,Den Haag Mariahoeve,GVM,52.090557098389,4.3694443702698,stoptreinstation,0,1.0
145,8400279,Den Haag Moerwijk,GVMW,52.053890228271,4.3086109161377,stoptreinstation,0,1.0
146,8400379,Den Haag Ypenburg,YPB,52.055278778076,4.39222240448,stoptreinstation,0,1.0
147,8400311,Den Helder,HDR,52.955276489258,4.7611112594605,intercitystation,1,0.0
148,8400303,Den Helder Zuid,HDRZ,52.932498931885,4.7641668319702,stoptreinstation,0,0.0
149,8400172,Deurne,DN,51.455833435059,5.7888889312744,stoptreinstation,0,0.0
150,8400173,Deventer,DV,52.257499694824,6.1605553627014,knooppuntIntercitystation,1,0.0
151,8400185,Deventer Colmschate,DVC,52.2502784729,6.2144446372986,stoptreinstation,0,0.0
152,8400174,Didam,DID,51.933502,6.1324106,stoptreinstation,0,0.0
153,8400165,Diemen,DMN,52.34515,4.967566,stoptreinstation,0,1.0
154,8400163,Diemen Zuid,DMNZ,52.330276489258,4.9558334350586,stoptreinstation,0,1.0
156,8400176,Dieren,DR,52.044998168945,6.1030554771423,intercitystation,1,0.0
157,8400177,Doetinchem,DTC,51.9585962,6.2962148,knooppuntStoptreinstation,0,0.0
158,8400184,Doetinchem De Huet,DTCH,51.9591413,6.2598521,stoptreinstation,0,0.0
159,8400180,Dordrecht,DDR,51.807220458984,4.668333530426,knooppuntIntercitystation,1,1.0
160,8400186,Dordrecht Stadspolders,DDRS,51.801944732666,4.7166666984558,stoptreinstation,0,1.0
161,8400181,Dordrecht Zuid,DDZD,51.790000915527,4.6713891029358,stoptreinstation,0,1.0
165,8400182,Driebergen-Zeist,DB,52.065277099609,5.25861120224,knooppuntStoptreinstation,0,1.0
166,8400183,Driehuis,DRH,52.442501068115,4.6380553245544,stoptreinstation,0,1.0
167,8400192,Dronryp,DRP,53.1778086,5.6347411,stoptreinstation,0,0.0
168,8400198,Dronten,DRON,52.5344,5.72089,stoptreinstation,0,0.0
170,8400193,Duiven,DVN,51.943332672119,6.0147223472595,stoptreinstation,0,0.0
171,8400194,Duivendrecht,DVD,52.323333740234,4.9363889694214,knooppuntStoptreinstation,0,1.0
176,8400195,Echt,EC,51.100555419922,5.8788890838623,stoptreinstation,0,0.0
177,8400201,Ede Centrum,EDC,52.043609619141,5.668333530426,stoptreinstation,0,0.0
178,8400200,Ede-Wageningen,ED,52.027778625488,5.6730556488037,knooppuntIntercitystation,1,0.0
179,8400202,Eemshaven,EEM,53.458419,6.832,stoptreinstation,0,0.0
